"customer_id","basket_id"
38,"B-47"
40,"B-26"
240,"B-56"
277,"B-4"
289,"B-37"
351,"B-13"
352,"B-55"
369,"B-29"
391,"B-68"
394,"B-25"
469,"B-63"
516,"B-28"
524,"B-48"
621,"B-16"
641,"B-9"
724,"B-38"
803,"B-53"
817,"B-71"
896,"B-21"
905,"B-74"
964,"B-11"
995,"B-42"
1050,"B-65"
1071,"B-51"
1096,"B-1"
1104,"B-73"
1254,"B-15"
1300,"B-59"
1328,"B-62"
1365,"B-20"
1401,"B-58"
1511,"B-61"
1547,"B-44"
1554,"B-45"
1608,"B-75"
1627,"B-64"
1653,"B-52"
1702,"B-50"
1828,"B-2"
1901,"B-69"
2000,"B-7"
2016,"B-27"
2172,"B-17"
2205,"B-24"
2221,"B-35"
2290,"B-6"
2291,"B-31"
2312,"B-23"
2380,"B-54"
2403,"B-70"
2431,"B-67"
2450,"B-22"
2451,"B-18"
2457,"B-36"
2461,"B-14"
2473,"B-12"
2499,"B-5"
2510,"B-40"
2526,"B-41"
2567,"B-32"
2569,"B-49"
2640,"B-76"
2665,"B-8"
2689,"B-3"
2789,"B-39"
2836,"B-57"
2845,"B-30"
3076,"B-60"
3143,"B-33"
3281,"B-72"
3314,"B-66"
3327,"B-43"
3372,"B-34"
3474,"B-19"
3480,"B-10"
3512,"B-46"
225,"B-78"
424,"B-77"
1177,"B-79"
2582,"B-82"
2687,"B-80"
3555,"B-81"
3,"B-109"
47,"B-92"
58,"B-129"
112,"B-93"
150,"B-103"
151,"B-185"
174,"B-179"
192,"B-95"
199,"B-143"
341,"B-171"
418,"B-218"
458,"B-207"
514,"B-133"
518,"B-163"
530,"B-192"
535,"B-113"
572,"B-147"
677,"B-142"
690,"B-130"
700,"B-120"
703,"B-184"
711,"B-140"
723,"B-100"
730,"B-145"
735,"B-182"
748,"B-116"
779,"B-173"
821,"B-150"
842,"B-159"
847,"B-215"
865,"B-115"
866,"B-214"
893,"B-193"
944,"B-191"
1012,"B-119"
1028,"B-122"
1091,"B-118"
1106,"B-151"
1146,"B-112"
1159,"B-102"
1174,"B-174"
1187,"B-85"
1192,"B-186"
1214,"B-89"
1255,"B-114"
1314,"B-121"
1347,"B-125"
1386,"B-169"
1399,"B-99"
1420,"B-175"
1439,"B-98"
1494,"B-111"
1545,"B-194"
1562,"B-190"
1572,"B-155"
1583,"B-160"
1622,"B-187"
1643,"B-127"
1658,"B-176"
1690,"B-104"
1722,"B-123"
1726,"B-197"
1727,"B-84"
1737,"B-90"
1756,"B-149"
1818,"B-211"
1853,"B-87"
1862,"B-196"
1888,"B-195"
1905,"B-216"
1920,"B-168"
1983,"B-164"
1984,"B-188"
2062,"B-94"
2070,"B-108"
2174,"B-210"
2231,"B-167"
2304,"B-124"
2345,"B-136"
2347,"B-106"
2353,"B-201"
2368,"B-96"
2404,"B-209"
2406,"B-138"
2407,"B-157"
2460,"B-212"
2548,"B-88"
2550,"B-154"
2626,"B-172"
2686,"B-105"
2744,"B-183"
2760,"B-141"
2765,"B-132"
2779,"B-217"
2810,"B-135"
2850,"B-166"
2876,"B-161"
2919,"B-97"
2950,"B-86"
2991,"B-101"
3001,"B-128"
3010,"B-165"
3016,"B-131"
3053,"B-205"
3055,"B-134"
3056,"B-206"
3093,"B-91"
3096,"B-148"
3123,"B-153"
3124,"B-158"
3129,"B-204"
3145,"B-213"
3150,"B-189"
3157,"B-200"
3162,"B-208"
3186,"B-177"
3189,"B-146"
3249,"B-180"
3268,"B-152"
3281,"B-117"
3283,"B-107"
3285,"B-162"
3288,"B-126"
3325,"B-203"
3348,"B-110"
3367,"B-181"
3391,"B-139"
3415,"B-202"
3422,"B-170"
3480,"B-137"
3493,"B-83"
3520,"B-199"
3551,"B-144"
3554,"B-178"
3587,"B-156"
3593,"B-198"
44,"B-256"
66,"B-258"
80,"B-222"
156,"B-233"
197,"B-249"
217,"B-243"
337,"B-235"
352,"B-241"
360,"B-220"
376,"B-254"
417,"B-238"
442,"B-264"
445,"B-262"
489,"B-265"
523,"B-231"
575,"B-237"
625,"B-221"
701,"B-229"
861,"B-266"
975,"B-245"
1152,"B-259"
1260,"B-252"
1324,"B-253"
1585,"B-240"
1622,"B-225"
1776,"B-242"
1929,"B-248"
1963,"B-257"
1975,"B-260"
1984,"B-234"
1985,"B-239"
2078,"B-226"
2158,"B-246"
2179,"B-224"
2242,"B-227"
2344,"B-232"
2494,"B-230"
2500,"B-263"
2665,"B-261"
3015,"B-228"
3056,"B-255"
3216,"B-247"
3434,"B-244"
3448,"B-250"
3523,"B-251"
3567,"B-236"
3589,"B-219"
3593,"B-223"
50,"B-286"
76,"B-283"
93,"B-307"
132,"B-278"
135,"B-305"
394,"B-306"
469,"B-316"
538,"B-288"
586,"B-285"
645,"B-274"
730,"B-310"
904,"B-272"
919,"B-294"
928,"B-304"
953,"B-312"
954,"B-287"
965,"B-311"
985,"B-270"
1032,"B-293"
1087,"B-281"
1251,"B-297"
1252,"B-271"
1313,"B-291"
1497,"B-296"
1663,"B-313"
1701,"B-292"
1805,"B-302"
1940,"B-314"
1956,"B-309"
2034,"B-298"
2106,"B-269"
2175,"B-315"
2218,"B-284"
2291,"B-268"
2474,"B-267"
2585,"B-308"
2640,"B-290"
2660,"B-276"
2756,"B-301"
2892,"B-289"
2895,"B-303"
2943,"B-277"
3100,"B-279"
3121,"B-300"
